bib,name,team,rfid
101,Emma Johnson,Team A,RFID101A
102,Liam Smith,Team A,RFID102A
103,Olivia Williams,Team A,RFID103A
104,Noah Brown,Team A,RFID104A
105,Ava Jones,Team A,RFID105A
106,William Garcia,Team A,RFID106A
107,Sophia Miller,Team A,RFID107A
108,James Davis,Team A,RFID108A
109,Isabella Rodriguez,Team A,RFID109A
110,Benjamin Martinez,Team A,RFID110A
111,Mia Hernandez,Team B,RFID111B
112,Elijah Lopez,Team B,RFID112B
113,Charlotte Gonzalez,Team B,RFID113B
114,Oliver Wilson,Team B,RFID114B
115,Amelia Anderson,Team B,RFID115B
116,Lucas Thomas,Team B,RFID116B
117,Evelyn Taylor,Team B,RFID117B
118,Mason Moore,Team B,RFID118B
119,Harper Jackson,Team B,RFID119B
120,Logan Martin,Team B,RFID120B
121,Ella Lee,Team C,RFID121C
122,Alexander Perez,Team C,RFID122C
123,Scarlett Thompson,Team C,RFID123C
124,Jacob White,Team C,RFID124C
125,Grace Harris,Team C,RFID125C
126,Michael Sanchez,Team C,RFID126C
127,Chloe Clark,Team C,RFID127C
128,Ethan Ramirez,Team C,RFID128C
129,Lily Lewis,Team C,RFID129C
130,Daniel Robinson,Team C,RFID130C
131,Zoey Walker,Team D,RFID131D
132,Matthew Young,Team D,RFID132D
133,Natalie Allen,Team D,RFID133D
134,David King,Team D,RFID134D
135,Victoria Wright,Team D,RFID135D
136,Joseph Scott,Team D,RFID136D
137,Aubrey Torres,Team D,RFID137D
138,Samuel Nguyen,Team D,RFID138D
139,Hannah Hill,Team D,RFID139D
140,John Flores,Team D,RFID140D
141,Savannah Green,Team E,RFID141E
142,Anthony Adams,Team E,RFID142E
143,Avery Nelson,Team E,RFID143E
144,Andrew Baker,Team E,RFID144E
145,Ella Gonzalez,Team E,RFID145E
146,Joshua Carter,Team E,RFID146E
147,Sofia Mitchell,Team E,RFID147E
148,Christopher Roberts,Team E,RFID148E
149,Aria Phillips,Team E,RFID149E
150,Jacob Campbell,Team E,RFID150E
